min_height,max_height,min_weight,max_weight,name
0.21,0.23,0.312,0.361,梦游
0.28,0.36,6.614,8.0,火尾瓦特
0.43,0.58,33.229,44.791,记忆石
0.25,0.31,3.062,4.024,板板壳
0.31,0.42,4.458,6.911,小狮鹫
0.52,0.72,26.113,36.257,恶魔狼
0.3,0.42,3.281,4.072,绿草精灵
0.29,0.41,5.427,8.537,鸭吉吉
0.32,0.35,1.527,2.642,海枝枝
0.19,0.24,1.65,2.361,乌达
0.25,0.35,6.9,8.971,小怂猫
0.26,0.31,0.905,1.136,粉粉星
0.25,0.27,1.019,1.422,花怒鳗
0.17,0.2,2.937,4.139,大耳帽兜
0.16,0.22,1.532,2.145,奇丽草
0.13,0.16,0.216,0.287,逗逗
0.16,0.21,0.037,0.052,小灵面
0.28,0.38,25.464,34.331,海豹战士
0.39,0.44,8.941,10.504,胆小鳗鱼
0.17,0.19,0.986,1.207,闪电环
0.37,0.45,10.983,13.898,小星光
0.17,0.28,1.26,1.993,恶魔叮
0.21,0.25,1.903,2.388,斑斑
0.22,0.29,8.091,13.374,石肤蜥
0.17,0.2,3.714,4.582,粉星仔
0.29,0.3,18.067,20.0,嘟嘟煲
0.24,0.33,13.562,19.561,阿米亚特
0.26,0.31,1.688,2.074,呆小路
0.23,0.27,1.902,2.362,草头鸭
0.42,0.58,14.903,21.683,小独角兽
0.26,0.26,3.123,3.123,小甲虫
0.23,0.29,2.625,3.335,海盗虫
0.32,0.37,10.048,12.4,伊雷龙
0.19,0.23,5.247,7.282,柴渣虫
0.26,0.3,9.909,11.603,贝瑟
0.24,0.32,2.635,3.388,灵狐
0.15,0.18,0.787,1.391,螺旋帕帕
0.23,0.27,1.088,1.77,小黑猫
0.13,0.23,0.434,1.203,豆丁鱼
0.22,0.29,1.739,2.829,小夜
0.27,0.36,4.867,6.532,护主犬
0.25,0.33,4.89,6.266,锤尾羊
0.17,0.21,1.166,1.793,雪绒鸟
0.18,0.22,1.666,2.15,一窝蜂
0.21,0.25,9.627,12.703,布是石
0.2,0.27,1.478,2.073,乖乖鸽
0.17,0.19,2.492,2.727,小鼠懒
0.26,0.33,4.564,5.582,治愈兔
0.21,0.22,12.073,12.904,权杖一
0.2,0.28,0.777,1.349,小草虫
0.04,0.05,0.057,0.07,旋叶虫
0.22,0.3,2.417,3.385,呼呼
0.36,0.42,7.188,12.99,大头骨龙
0.2,0.23,5.585,6.204,风铃鲨
0.23,0.28,3.365,4.639,吸泥鸥
0.15,0.21,21.471,29.809,石石
0.12,0.18,1.184,1.646,矮脚爬爬
0.22,0.27,0.75,0.933,地鼠
0.14,0.18,0.672,1.064,哭哭菇
0.24,0.28,2.101,2.292,矿晶虫
0.17,0.24,2.627,3.615,甜田螺
0.21,0.22,1.291,1.471,绿翼鸟
0.13,0.21,0.037,0.117,蒲公英
0.18,0.24,1.408,2.047,格兰种子
0.44,0.46,17.694,19.209,里拉鳐
0.43,0.49,4.088,4.684,雪豆丁
0.15,0.17,1.153,1.507,书魔虫
0.35,0.39,7.776,8.425,白发懒人
0.08,0.13,0.966,1.554,刺轮砣
0.27,0.31,2.804,3.212,电咩咩
0.17,0.22,1.171,1.553,优优
0.22,0.24,1.213,1.452,公平鸽
0.13,0.17,1.453,1.998,号儿鱼
0.25,0.38,1.703,12.934,圆眼蜘蛛
0.15,0.19,4.053,5.306,棋棋
0.22,0.25,2.988,3.371,拉特
0.12,0.14,0.426,0.472,菇菇丁
0.24,0.27,1.852,2.19,绿耳松鼠
0.14,0.17,1.249,1.488,毛毛
0.15,0.21,1.299,2.355,丢丢
0.12,0.13,0.353,0.415,画精灵
0.19,0.23,1.373,2.017,小电企鹅
0.17,0.22,1.665,2.679,可立鸡
0.21,0.28,11.352,14.105,翡翠水母
0.27,0.3,1.506,1.737,菊花梨
0.46,0.55,18.203,21.801,锤头鹳
0.3,0.35,11.552,13.509,幽影树
0.23,0.28,1.841,2.163,蹦蹦种子
0.16,0.18,1.987,2.409,小箱怪
0.19,0.25,1.16,1.603,伊贝儿
0.19,0.24,2.012,2.631,小灵菇
0.14,0.17,2.719,3.162,雪娃娃
0.14,0.16,1.789,2.088,波波螺
0.32,0.42,11.077,14.52,电动长颈鹿
0.19,0.25,5.222,6.847,多多
0.29,0.29,1.7,1.7,喵喵
0.31,0.37,4.021,5.096,小帕尔
0.4,0.61,8.016,15.815,火红尾
0.21,0.22,1.69,1.818,奔波鼠
0.13,0.13,1.535,1.535,果冻
0.12,0.12,0.379,0.379,绒绒
0.2,0.2,11.426,11.592,权杖
